fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosi,Tarija,Chuquisaca,Beni,Pando
2015-01,1320,740,874,230,375,220,265,125,18
2015-02,1139,678,781,191,354,188,212,133,19
2015-03,1327,767,928,222,318,214,254,143,14
2015-04,1232,764,847,200,341,185,261,139,23
2015-05,1347,773,936,224,364,185,239,137,16
2015-06,1360,791,1006,228,390,192,248,145,16
2015-07,1458,865,925,258,350,209,277,137,20
2015-08,1382,811,835,218,389,214,270,135,27
2015-09,1398,711,888,211,328,170,268,148,23
2015-10,1309,806,951,213,374,210,232,176,17
2015-11,1276,727,849,205,340,193,248,160,18
2015-12,1355,766,915,218,408,198,238,164,22
2016-01,1357,794,1101,231,362,216,284,165,14
2016-02,1361,786,899,204,386,187,231,162,17
2016-03,1282,764,1031,206,366,201,239,178,19
2016-04,1278,706,976,200,367,181,230,160,20
2016-05,1342,843,957,253,372,237,250,151,25
2016-06,1488,925,995,272,375,223,265,137,24
2016-07,1323,769,953,222,430,196,302,157,19
2016-08,1317,787,921,199,389,221,270,159,22
2016-09,1332,733,880,199,373,169,251,154,16
2016-10,1304,793,938,211,365,208,218,147,11
2016-11,1315,733,896,226,380,207,248,153,16
2016-12,1414,769,874,232,374,208,243,147,12
2017-01,1288,745,918,220,351,219,249,166,14
2017-02,1252,666,824,180,323,180,189,128,23
2017-03,1384,831,1010,239,392,211,235,181,24
2017-04,1362,784,951,232,315,194,234,171,9
2017-05,1418,779,934,265,349,218,236,179,9
2017-06,1356,802,933,239,397,197,257,185,24
2017-07,1390,787,928,222,360,238,293,143,25
2017-08,1374,748,934,222,383,225,238,151,18
2017-09,1284,779,899,250,369,183,239,166,17
2017-10,1354,810,956,203,350,169,242,155,26
2017-11,1235,722,890,232,333,186,232,141,17
2017-12,1335,735,985,190,314,208,207,136,11
2018-01,1330,718,993,238,367,215,221,176,22
2018-02,1231,733,935,238,354,193,213,139,17
2018-03,1326,768,1016,227,359,187,244,176,22
2018-04,1240,727,934,217,327,198,232,147,18
2018-05,1372,733,1053,238,375,195,232,155,18
2018-06,1512,822,1037,240,356,189,239,164,22
2018-07,1573,853,986,242,389,230,284,168,15
2018-08,1531,826,1052,272,376,213,240,145,22
2018-09,1342,751,980,236,309,191,260,151,9
2018-10,1409,766,939,261,352,211,239,153,22
2018-11,1344,770,964,232,331,214,262,132,14
2018-12,1448,810,1010,235,311,214,230,153,24
2019-01,1338,813,1132,253,368,247,273,131,19
2019-02,1266,709,887,214,303,203,242,130,13
2019-03,1331,788,1024,251,351,222,265,136,16
2019-04,1314,766,995,228,291,227,219,164,22
2019-05,1372,813,970,252,354,198,221,161,16
2019-06,1503,815,983,275,340,204,265,144,16
2019-07,1496,904,1080,277,368,256,283,167,23
2019-08,1434,839,1069,252,378,220,247,178,19
2019-09,1354,793,975,241,295,207,239,185,13
2019-10,1345,821,1033,227,337,227,243,150,22
2019-11,1209,707,815,248,254,226,244,138,20
2019-12,1348,865,1115,267,345,250,280,183,20
2020-01,1443,852,1218,252,353,222,285,187,16
2020-02,1329,753,1104,241,306,201,219,185,26
2020-03,1332,800,1342,211,274,227,244,163,22
2020-04,1088,576,591,198,181,141,171,67,10
2020-05,1213,670,1308,192,251,174,196,334,15
2020-06,1787,1425,3422,333,321,188,229,464,54
2020-07,7451,2757,2339,1148,693,360,548,463,117
2020-08,4608,1403,1498,742,972,506,641,233,34
2020-09,1695,784,1156,302,434,337,321,149,31
2020-10,1449,821,1196,283,406,287,305,168,17
2020-11,1383,852,1150,242,343,228,231,160,12
2020-12,1600,757,1139,264,324,239,247,160,26
2021-01,4372,1029,1787,495,543,284,334,234,48
2021-02,2643,952,1391,452,476,296,290,200,33
2021-03,1835,1007,1309,393,435,361,319,267,39
2021-04,1513,1025,1265,304,338,261,259,298,60
2021-05,2041,2006,2144,648,466,345,397,257,33
2021-06,2634,2377,2443,672,705,348,510,230,23
2021-07,2330,1433,1953,375,663,367,550,223,26
2021-08,1913,1117,1497,348,545,338,419,183,18
2021-09,1640,976,1242,323,428,272,310,182,22
